"di_id","colour","detail","source_title","source_link"
"MZ","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"NA","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"NE","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"NG","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"RW","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"SN","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"SC","green","Over 75%","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/index.php/AFRO:Civil_registration_and_vital_statistics_systems"
"SL","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"SO","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"ZA","green","Over 80%","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"SS","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"SD","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"SZ","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"TZ","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"TG","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"TN","green","""Satisfactory""",,"http://www.globalsummitoncrvs.org/pdf/EMRORapidAssessmentReport21March.pdf"
"UG","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"EH","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"ZM","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"ZW","orange","Over 25%","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
