"di_id","colour","detail","source_title","source_link"
"LS","orange","2010","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"LR","red","No recent census",,
"LY","green","2013-2014","World Bank metadata","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS#"
"MG","red","2004","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"MW","red","2007","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"ML","orange","2015","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"MR","red","1985","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"MU","green","2014","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"MA","orange","2015",,
"MZ","orange","2010","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"NA","green","2014","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"NE","red","2008","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"NG","green","2013","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"RW","green","2013","World Programme for the Census of Agriculture and government press release","http://www.fao.org/economic/ess/ess-wca/en/ and http://www.statistics.gov.rw/about-us/news/rwanda-national-agriculture-survey-started-november-2012"
"ST","green","2012","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"SN","green","2013","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"SC","orange","2011","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"SL","red","1985","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"SO","red","No recent census",,
"ZA","green","2013",,
"SS","red","No recent census",,
"SD","orange","2015","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"SZ","red","2003","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"TZ","red","2008","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"TG","green","2012","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"TN","green","2014-2015","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"UG","orange","2008-2009","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"EH","red","No recent census",,
"ZM","red","2000","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"ZW","red","No recent census",,
